id,year,value
AFR,2067,2728390419
AFR,2068,2758742478
AFR,2069,2788887226
AFR,2070,2818814041
AFR,2071,2848513204
AFR,2072,2877974761
AFR,2073,2907187535
AFR,2074,2936140054
AFR,2075,2964821543
AFR,2076,2993222886
AFR,2077,3021335603
AFR,2078,3049150606
AFR,2079,3076659061
AFR,2080,3103852751
AFR,2081,3130723828
AFR,2082,3157265539
AFR,2083,3183472405
AFR,2084,3209339792
AFR,2085,3234862907
AFR,2086,3260036044
AFR,2087,3284853314
AFR,2088,3309309733
AFR,2089,3333400564
AFR,2090,3357121110
AFR,2091,3380466695
AFR,2092,3403432649
AFR,2093,3426014409
AFR,2094,3448207497
AFR,2095,3470007646
AFR,2096,3491410778
AFR,2097,3512413036
AFR,2098,3533010743
AFR,2099,3553200477
AFR,2100,3572978995
AME,1800,27263700
AME,1801,27486893
AME,1802,27709535
AME,1803,27935854
AME,1804,28165918
AME,1805,28399795
AME,1806,28637560
AME,1807,28879284
AME,1808,29125044
AME,1809,29374912
AME,1810,29628974
AME,1811,29887301
AME,1812,30149982
AME,1813,30417093
AME,1814,30688725
AME,1815,30964958
AME,1816,31245750
AME,1817,31531315
AME,1818,31815279
AME,1819,32103886
AME,1820,32397222
AME,1821,33011430
AME,1822,33639148
AME,1823,34271419
AME,1824,34909329
AME,1825,35553425
AME,1826,36203341
AME,1827,36856268
AME,1828,37524869
AME,1829,38195815
AME,1830,38881157
AME,1831,39658905
AME,1832,40444392
AME,1833,41235312
AME,1834,42033216
AME,1835,42839281
AME,1836,43651644
AME,1837,44472126
AME,1838,45301286
AME,1839,46137295
AME,1840,46997404
AME,1841,48044920
AME,1842,49092194
AME,1843,50147905
AME,1844,51212266
AME,1845,52285414
AME,1846,53366626
AME,1847,54457133
AME,1848,55557185
AME,1849,56668034
AME,1850,57806004
AME,1851,59096393
AME,1852,60394622
AME,1853,61801176
AME,1854,63015070
AME,1855,64337652
AME,1856,65669727
AME,1857,67009471
AME,1858,68358096
AME,1859,69715797
AME,1860,71083779
AME,1861,72404504
AME,1862,73702131
AME,1863,75007446
AME,1864,76318543
AME,1865,77638751
AME,1866,78965031
AME,1867,80299516
AME,1868,81640315
AME,1869,82989571
AME,1870,84362466
AME,1871,85850667
AME,1872,87579805
AME,1873,89327104
AME,1874,91081675
AME,1875,92834604
AME,1876,94607943
AME,1877,96387846
AME,1878,98156733
AME,1879,99945720
AME,1880,101770900
AME,1881,103831373
AME,1882,105888836
AME,1883,107962786
AME,1884,110048286
AME,1885,112136602
AME,1886,114221846
AME,1887,116324139
AME,1888,118448961
AME,1889,120584117
AME,1890,122736753
AME,1891,125017071
AME,1892,127312209
AME,1893,129620441
AME,1894,131952598
AME,1895,134327843
AME,1896,136668367
AME,1897,139084249
AME,1898,141527669
AME,1899,143992833
AME,1900,146477861
AME,1901,149249621
AME,1902,152128816
AME,1903,154968174
AME,1904,157915903
AME,1905,160975673
AME,1906,163954878
AME,1907,167124203
AME,1908,170361112
AME,1909,173676360
AME,1910,177009122
AME,1911,179944401
AME,1912,182876340
AME,1913,186328860
AME,1914,189793964
AME,1915,192599274
AME,1916,195295406
AME,1917,198079539
AME,1918,200605765
AME,1919,202620195
AME,1920,205665938
AME,1921,209391261
AME,1922,212823353
AME,1923,216684208
AME,1924,220892566
AME,1925,224664976
AME,1926,228334182
AME,1927,232110797
AME,1928,235775704
AME,1929,239239846
AME,1930,242828764
AME,1931,246001449
AME,1932,248965049
AME,1933,251888413
AME,1934,254834651
AME,1935,257937449
AME,1936,260921482
AME,1937,263982396
AME,1938,267321221
AME,1939,270909931
AME,1940,274559690
AME,1941,278815806
AME,1942,283368724
AME,1943,288344844
AME,1944,293176648
AME,1945,298333653
AME,1946,303347818
AME,1947,309820250
AME,1948,316227797
AME,1949,322863911
AME,1950,338708206
AME,1951,345751999
AME,1952,353340080
AME,1953,361364091
AME,1954,369732129
AME,1955,378368616
AME,1956,387215048
AME,1957,396229288
AME,1958,405383817
AME,1959,414662768
AME,1960,424052968
AME,1961,433534415
AME,1962,443071941
AME,1963,452611633
AME,1964,462090961
AME,1965,471468569
AME,1966,480719550
AME,1967,489861061
AME,1968,498948338
AME,1969,508062649
AME,1970,517267244
AME,1971,526573848
AME,1972,535976793
AME,1973,545500806
AME,1974,555170908
AME,1975,565002575
AME,1976,575013695
AME,1977,585197615
AME,1978,595513604
AME,1979,605903264
AME,1980,616324304
AME,1981,626755690
AME,1982,637208113
AME,1983,647708649
AME,1984,658299436
AME,1985,669007002
AME,1986,679845524
AME,1987,690793345
AME,1988,701798694
AME,1989,712790234
AME,1990,723719371
AME,1991,734547424
AME,1992,745292924
AME,1993,756032466
AME,1994,766876183
AME,1995,777893701
AME,1996,789115638
AME,1997,800488211
AME,1998,811893676
AME,1999,823168230
AME,2000,834192425
AME,2001,844928022
AME,2002,855404733
AME,2003,865655177
AME,2004,875738843
AME,2005,885703120
AME,2006,895544573
AME,2007,905255353
AME,2008,914874971
AME,2009,924452818
AME,2010,934022501
AME,2011,943600616
AME,2012,953174077
AME,2013,962708958
AME,2014,972154704
AME,2015,981472298
AME,2016,990649098
AME,2017,999688770
AME,2018,1008587580
AME,2019,1017345788
AME,2020,1025961672
AME,2021,1034428880
AME,2022,1042737701
AME,2023,1050879513
AME,2024,1058845031
AME,2025,1066626457
AME,2026,1074218589
AME,2027,1081618158
AME,2028,1088821965
AME,2029,1095827787
AME,2030,1102633781
AME,2031,1109237504
AME,2032,1115637340
AME,2033,1121833661
AME,2034,1127827824
AME,2035,1133620967
AME,2036,1139213684
AME,2037,1144606019
AME,2038,1149798252
AME,2039,1154790657
AME,2040,1159584126
AME,2041,1164179877
AME,2042,1168580331
AME,2043,1172789171
AME,2044,1176810914
AME,2045,1180649671
AME,2046,1184310012
AME,2047,1187794708
AME,2048,1191104126
AME,2049,1194237651
AME,2050,1197196669
AME,2051,1199983109
AME,2052,1202603933
AME,2053,1205071814
AME,2054,1207402623
AME,2055,1209608969
AME,2056,1211697427
AME,2057,1213669621
AME,2058,1215526922
AME,2059,1217268708
AME,2060,1218895047
AME,2061,1220408489
AME,2062,1221812518
AME,2063,1223108917
AME,2064,1224299272
AME,2065,1225384940
AME,2066,1226368209
AME,2067,1227250291
AME,2068,1228030124
AME,2069,1228705744
AME,2070,1229276341
AME,2071,1229743037
AME,2072,1230108731
AME,2073,1230376672
AME,2074,1230550954
AME,2075,1230635389
AME,2076,1230632857
AME,2077,1230545935
AME,2078,1230377987
AME,2079,1230132531
AME,2080,1229813114
AME,2081,1229422954
AME,2082,1228965573
AME,2083,1228445313
AME,2084,1227866826
AME,2085,1227234394
AME,2086,1226551576
AME,2087,1225821474
AME,2088,1225047344
AME,2089,1224232279
AME,2090,1223379308
AME,2091,1222491410
AME,2092,1221571530
AME,2093,1220622512
AME,2094,1219647115
AME,2095,1218647964
